,CarParkID,address,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,lat,lng
1570,PL51,BLK 213 PUNGGOL WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.400010435,103.8986761
1571,PL52,BLK 312 SUMANG LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.410195118,103.9014605
1572,PL53,BLK 266 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.405276533,103.8982109
1573,PL54,BLK 259 PUNGGOL FIELD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.404506226,103.8953443
1574,PL55,BLK 261 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.405404806,103.8968416
1575,PL56,BLK 672 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.407069979,103.9117299
1576,PL57,BLK 665 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.401920864,103.9146872
1577,PL58,663  PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.399914839,103.9167907
1578,PL59,BLK 308 PUNGGOL WALK,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y,1.408109322,103.8987607
1579,PL60,BLK 670 EDGEFIELD PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,1.405822999,103.9132581
1580,PL61,BLK 678 PUNGGOL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.406114902,103.9088899
1581,PL62,BLK 256 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.405533926,103.8955284
1582,PL65,BLK 310 PUNGGOL WALK,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,1.409762448,103.8997228
1583,PL66,BLK 121 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.393583292,103.9083695
1584,PL67,BLK 314 PUNGGOL WAY,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.40847387,103.8975134
1585,PL68,BLK 217 SUMANG WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.402849777,103.895639
1586,PL69,BLK 661 EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.402534759,103.9176146
1587,PL70,BLK 226 SUMANG LANE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.403078094,103.893284
1588,PL71,BLK 682 EDGEDALE PLAINS EDGEDALE PLAINS,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.404017644,103.9157919
1590,PM10,BLK 204A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,1.9,N,1.366746421,103.962474
1591,PM11,BLK 269A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,1.9,N,1.364793275,103.963457
1593,PM12,BLK 272A PASIR RIS STREET 21,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,1.9,N,1.364905493,103.9650289
1596,PM13,BLK 199A PASIR RIS STREET 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,1.366473555,103.9595977
1598,PM14,BLK 180A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,1.364708433,103.9601054
1599,PM15,BLK 158A PASIR RIS STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.364160134,103.9616771
1600,PM16,BLK 149A PASIR RIS STREET 13,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.362358733,103.9627206
1603,PM17,BLK 142A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.362792853,103.9597007
1605,PM18,BLK 135A PASIR RIS STREET 11,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.0,N,1.36475655,103.9568798
1606,PM19,BLK 108A PASIR RIS STREET 12,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.0,N,1.367956778,103.9570227
1609,PM20,BLK 526 PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.368041633,103.947456
1610,PM21,BLK 530 PASIR RIS DR 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,15,2.15,N,1.371196982,103.9494154
1611,PM22,BLK 555A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.368562431,103.9522137
1612,PM23,BLK 564A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.368681755,103.9495037
1614,PM24,BLK 561A PASIR RIS STREET 51,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.0,N,1.36718518,103.9513153
1617,PM25,BLK 500A PASIR RIS STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,1.9,N,1.376390131,103.9456089
1619,PM26,BLK 521A PASIR RIS STREET 52,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.373867573,103.9439927
1620,PM27,BLK 578A PASIR RIS STREET 53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.373960189,103.946596
1621,PM28,BLK 586A PASIR RIS STREET 53,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.374700109,103.947766
1623,PM29,BLK 601A ELIAS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.377333641,103.9433737
1625,PM30,BLK 614A ELIAS ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,1.9,N,1.375745384,103.9421772
1626,PM32,BLK 631A PASIR RIS DRIVE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.379306774,103.9400987
1629,PM33,BLK 635A PASIR RIS DRIVE 1,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.377080924,103.9398767
1630,PM34,BLK 649A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.378000605,103.938712
1632,PM35,BLK 700A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.380769512,103.9386414
1634,PM36,BLK 710A PASIR RIS STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.382416559,103.9370705
1636,PM37,BLK 718A PASIR RIS STREET 72,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.381924788,103.9360195
1639,PM38,BLK 736A PASIR RIS DRIVE 10,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.378947581,103.9372425
1641,PM40,BLK 744A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,11,2.0,N,1.377947613,103.9353837
1643,PM41,BLK 747A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.37873742,103.9341244
1645,PM43,BLK 757A PASIR RIS ST 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.377177077,103.933147
1646,PM44,BLK 762A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,9,2.0,N,1.375965618,103.9332995
1649,PM45,BLK 773A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.374601955,103.9359049
1650,PM46,BLK 782A PASIR RIS STREET 71,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,8,2.0,N,1.373224587,103.938387
1652,PP9T,BLK 145 POTONG PASIR AVENUES 2/3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.332194678,103.8660601
1653,PR10,BLK 467/477 PASIR RIS DRIVE 6,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.373738956,103.9571828
1655,PR12,BLK 544/556 PASIR RIS STREET 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.36871369,103.952683
1657,PR13,"BLK 537-543, 564-569 PASIR RIS STREET 51",SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.369476386,103.9496188
1659,PR14,BLK 557-562 PASIR RIS ST 51,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N,1.366686089,103.9514927
1660,PRS1,BLK 212A PASIR RIS STREET 21,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0.0,N,1.368017156,103.9603263
1661,Q75M,BLK 10A HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.308311929,103.7936989
1662,Q77M,BLK 18 HOLLAND DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.311593204,103.7920156
1664,RHM2,BLK 70A REDHILL CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.28697769,103.8169568
1667,RHM3,BLK 73 REDHILL RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,17,2.15,N,1.287915777,103.8172732
1670,RHM4,BLK 74 REDHILL RD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.287958318,103.8157926
1672,S100,BLK 472 FERNVALE STREET,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.396862609,103.8817469
1673,S102,BLK 164 RIVERVALE CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.389273974,103.9076001
1674,S103,BLK 293 COMPASSVALE CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.396295624,103.8952657
1675,S104,BLK 215 COMPASSVALE DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.390179473,103.8930395
1676,S105,BLK 217 COMPASSVALE DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.389699761,103.894446
1677,S106,BLK 278 COMPASSVALE BOW,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.381380232,103.8900564
1678,S107,BLK 338 ANCHORVALE CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,1.399229518,103.8896473
1679,S108,BLK 289 COMPASSVALE CRESCENT,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.39809995,103.8969315
1680,S109,BLK 417 FERNVALE LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.391571987,103.8798987
1682,S19L,BLK 501B WELLINGTON CIRCLE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.451366057,103.8209114
1683,S24L,BLK 507A WELLINGTON CIRCLE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.45316111,103.8237047
1685,S28L,BLK 489 ADMIRALTY LINK,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.454820084,103.816755
1687,S30L,SENGKANG EAST WAY,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.3945617,103.8948302
1688,S39L,BLK 542A/542 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0.0,N,1.373907449,103.8717519
1690,SAM2,BLK 61 STRATHMORE AVENUE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N,1.293966567,103.8110073
1693,SB10,BLK 481A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.452480883,103.8153178
1695,SB11,BLK 476A SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.451696111,103.8166379
1696,SB12,BLK 424A CANBERRA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.453165066,103.8190629
1698,SB13,BLK 404A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.454311059,103.8164337
1701,SB15,BLK 358A ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N,1.448927181,103.8166936
1702,SB16,BLK 339 SEMBAWANG CLOSE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.448216045,103.8173212
1704,SB17,BLK 504 MONTREAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.450908114,103.82369
1705,SB18,BLK 469/469A/469B ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N,1.448931121,103.8137014
1707,SB19,BLK 501 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.451591643,103.8213577
1709,SB20,BLK 505 CANBERRA LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.450271733,103.822508
1710,SB21,BLK 467/467A/467B ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N,1.451781286,103.8142356
1712,SB22,BLK 351 CANBERRA ROAD,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.451167557,103.8202883
1714,SB23,BLK 354 ADMIRALTY DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.450035381,103.8183892
1717,SB24,BLK 506 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.452322396,103.8235495
1718,SB25,BLK 588 MONTREAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N,1.450190059,103.824787
1719,SB26,BLK 484A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.456465018,103.815224
1722,SB27,BLK 492A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.456622416,103.8173965
1723,SB28,BLK 482A ADMIRALTY LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.454863339,103.8156384
1726,SB29,BLK 508 WELLINGTON CIRCLE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.453045093,103.8200734
1727,SB30,BLK 466 SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.455468086,103.8135398
1729,SB31,BLK 463 SEMBAWANG DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,1.455526679,103.8145232
1731,SB32,BLK 591 MONTREAL LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.450237534,103.8263772
1733,SB33,BLK 592 MONTREAL LINK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.451213898,103.8274329
1735,SB34,BLK 462 SEMBAWANG DRIVE,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,3.8,N,1.454645034,103.8135216
1736,SB35,BLK 120 CANBERRA CRES,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.445716569,103.8316018
1737,SB36,BLK 121 CANBERRA ST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,1,2.15,N,1.447434316,103.8339823
1738,SB38,BLK 129 CANBERRA ST,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.444643047,103.8326927
1739,SB40,BLK 115 CANBERRA WALK,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.446072465,103.8287072
1740,SD11,BLK 63 SIMS PLACE,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,YES,0,0.0,N,1.31638569,103.8794488
1741,SDM2,BLK 50A SIMS DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,4,2.15,N,1.316132795,103.8784551
1742,SE11,BLK 151/154 SERANGOON NORTH AVE 1/2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.370226001,103.8734194
1743,SE12,BLK 211-222 SERANGOON AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.357843857,103.8730891
1744,SE13,BLK 223/230 SERANGOON AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.356571683,103.8703302
1745,SE14,BLK 231/237 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,1.354552224,103.8699887
1746,SE15,BLK 238/246 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N,1.352894926,103.8694101
1747,SE16,BLK 301/319 SERANGOON AVENUE 2,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.35261889,103.8677199
1748,SE17,BLK 321/329 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.351714441,103.8677094
1749,SE18,BLK 330/335 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,4.5,N,1.350197483,103.8704641
1750,SE19,BLK 201/210 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.354744913,103.8736912
1751,SE20,BLK 264 SERANGOON CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,1.9,N,1.351577568,103.8720988
1752,SE21,BLK 262/263 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.353436181,103.8720161
1753,SE22,BLK 261/263 SERANGOON CENTRAL,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.354156732,103.8721288
1754,SE23,BLK 253/254 SERANGOON CENTRAL DRIVE,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,1.9,N,1.354049907,103.8708389
1755,SE24,BLK 265 SERANGOON AVENUE 3,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0.0,N,1.352764397,103.8714942
1756,SE25,BLK 401/408 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N,1.346310249,103.8727234
1757,SE26,BLK 409/414 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,5.4,N,1.348961711,103.8741398
1758,SE27,BLK 421/427 SERANGOON CENTRAL/AVE 1,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N,1.348394753,103.8762489
1759,SE28,BLK 410A SERANGOON CENTRAL,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.0,N,1.348195706,103.8736233
1760,SE29,BLK 2A LORONG LEW LIAN,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.0,N,1.349902687,103.8757993
1761,SE31,BLK 514/520 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.371511971,103.8736719
1762,SE32,BLK 521/530 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.372284801,103.8722967
1763,SE33,BLK 537/542 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.374161738,103.8726078
1764,SE34,BLK 531/536 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,1.373941085,103.8743072
1765,SE35,BLK 500/506B SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.373099118,103.876253
1766,SE37,BLK 519 SERANGOON NORTH AVENUE 4,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N,1.371587551,103.874889
1767,SE38,BLK 504A SERANGOON NORTH AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,1.373953245,103.8757153
1768,SE39,BLK 542A SERANGOON NORTH AVENUE 4,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N,1.373503672,103.8717029
1769,SE40,BLK 550A SERANGOON NORTH AVENUE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.372540957,103.870023
1770,SE41,BLK 546A SERANGOON NORTH AVE 3,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.374047654,103.870212
